Date,Expense_Category,Amount,Description,tenant_id,nama_rs,kelas_rs,expense_level
2024-10-01,Staffing,41148.6,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-02,Supplies,66860.79,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-03,Supplies,61595.24,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-10-04,Supplies,39071.79,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-10-05,Equipment,55607.44,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-10-06,Equipment,16373.0,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-10-07,Supplies,56070.28,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-10-08,Staffing,68366.07,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-09,Supplies,16542.3,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-10-10,Staffing,56552.85,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-11,Staffing,18516.26,Ventilators,T001,RSUD dr. Soetomo,A,Medium
2024-10-12,Equipment,14778.41,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-10-13,Staffing,9563.74,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-10-14,Staffing,31328.22,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Medium
2024-10-15,Staffing,39079.94,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-10-16,Equipment,21397.22,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-10-17,Staffing,23443.42,Surgical masks,T001,RSUD dr. Soetomo,A,Medium
2024-10-18,Supplies,10233.99,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-10-19,Equipment,68149.14,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-20,Supplies,48800.32,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-21,Equipment,6968.72,Surgical masks,T001,RSUD dr. Soetomo,A,Low
2024-10-22,Equipment,48240.64,Ventilators,T001,RSUD dr. Soetomo,A,High
2024-10-23,Staffing,45706.44,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-10-24,Equipment,60617.14,Surgeons' salaries,T001,RSUD dr. Soetomo,A,High
2024-10-25,Supplies,49865.49,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-26,Staffing,3039.99,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
2024-10-27,Supplies,42378.18,Surgical masks,T001,RSUD dr. Soetomo,A,High
2024-10-28,Staffing,1634.11,Surgeons' salaries,T001,RSUD dr. Soetomo,A,Low
