tenant_id,item_id,vendor_id,current_stock,min_required,max_capacity,avg_usage_per_day,restock_lead_time,days_until_stockout,stock_status,needs_reorder,inventory_date
T001,1,1,2159,264,1018,146,17,14.787671232876713,Warning,False,2024-10-01
T001,1,1,3482,656,3556,74,12,47.054054054054056,Safe,False,2024-10-02
T001,2,1,3319,384,5562,634,6,5.235015772870662,Warning,False,2024-10-03
T001,2,2,2853,438,1131,279,15,10.225806451612904,Warning,False,2024-10-04
T001,3,3,3374,338,1013,213,12,15.84037558685446,Safe,False,2024-10-05
T001,3,2,3161,402,1715,521,26,6.067178502879079,Warning,False,2024-10-06
T001,3,3,542,210,3765,279,24,1.9426523297491038,Warning,False,2024-10-07
T001,3,2,172,502,2161,347,11,0.4956772334293948,Critical,True,2024-10-08
T001,1,1,1106,751,1801,22,20,50.27272727272727,Safe,False,2024-10-09
T001,4,2,3427,28,1314,564,5,6.076241134751773,Safe,False,2024-10-10
T001,2,1,4831,12,2292,217,21,22.262672811059907,Safe,False,2024-10-11
T001,2,3,6314,207,4298,343,8,18.408163265306122,Safe,False,2024-10-12
T001,5,1,4617,231,3736,329,2,14.033434650455927,Safe,False,2024-10-13
T001,4,2,1105,515,4238,310,24,3.564516129032258,Warning,False,2024-10-14
T001,4,3,6607,239,2184,267,24,24.745318352059925,Safe,False,2024-10-15
T001,2,2,4851,622,4936,560,25,8.6625,Warning,False,2024-10-16
T001,4,2,652,372,3426,143,26,4.559440559440559,Warning,False,2024-10-17
T001,5,2,3374,167,3633,238,6,14.176470588235293,Safe,False,2024-10-18
T001,1,1,647,165,2450,674,23,0.9599406528189911,Warning,False,2024-10-19
T001,3,3,6044,667,3215,80,18,75.55,Safe,False,2024-10-20
T001,5,2,319,452,3288,618,17,0.5161812297734628,Critical,True,2024-10-21
T001,3,1,4077,405,2109,505,17,8.073267326732672,Warning,False,2024-10-22
T001,2,2,3088,315,3900,529,1,5.837429111531191,Safe,False,2024-10-23
T001,1,3,3527,338,1419,560,19,6.298214285714286,Warning,False,2024-10-24
T001,5,1,3822,354,4914,462,4,8.272727272727273,Safe,False,2024-10-25
T001,4,2,2940,525,4644,42,2,70.0,Safe,False,2024-10-26
T001,1,2,1169,634,2523,575,7,2.0330434782608697,Warning,False,2024-10-27
T001,5,1,6005,21,1823,12,21,500.4166666666667,Safe,False,2024-10-28
T001,1,3,1060,835,1153,89,1,11.910112359550562,Safe,False,2024-10-29
T001,2,3,1981,444,1004,148,9,13.385135135135135,Safe,False,2024-10-30
T001,4,3,6860,665,867,634,25,10.82018927444795,Warning,False,2024-10-31
T001,3,1,4501,963,1517,358,7,12.572625698324023,Safe,False,2024-11-01
T001,3,1,1222,141,1277,338,12,3.6153846153846154,Warning,False,2024-11-02
T001,3,2,3185,896,3727,321,5,9.922118380062305,Safe,False,2024-11-03
T001,5,1,6868,966,1497,68,22,101.0,Safe,False,2024-11-04
T001,1,2,972,945,5657,504,6,1.9285714285714286,Warning,False,2024-11-05
T001,4,1,195,520,4602,88,8,2.215909090909091,Critical,True,2024-11-06
T001,4,3,3277,991,3886,124,24,26.427419354838708,Safe,False,2024-11-07
T001,5,3,5243,167,5193,69,26,75.98550724637681,Safe,False,2024-11-08
T001,4,1,6726,959,5623,239,20,28.14225941422594,Safe,False,2024-11-09
T001,4,1,4540,77,4318,640,11,7.09375,Warning,False,2024-11-10
T001,1,3,3788,578,3839,213,6,17.784037558685448,Safe,False,2024-11-11
T001,1,3,3423,213,2961,97,6,35.28865979381443,Safe,False,2024-11-12
T001,1,1,4063,385,5319,36,5,112.86111111111111,Safe,False,2024-11-13
T001,5,3,2040,89,5902,648,29,3.1481481481481484,Warning,False,2024-11-14
T001,5,1,612,311,4676,539,11,1.1354359925788498,Warning,False,2024-11-15
T001,5,1,2425,612,1687,510,26,4.754901960784314,Warning,False,2024-11-16
T001,4,1,357,89,2088,373,13,0.9571045576407506,Warning,False,2024-11-17
T001,3,1,3009,235,5509,171,17,17.596491228070175,Safe,False,2024-11-18
T001,4,1,6590,21,5808,185,26,35.62162162162162,Safe,False,2024-11-19
T001,1,1,3312,513,1469,54,6,61.333333333333336,Safe,False,2024-11-20
T001,3,2,4150,143,4695,559,14,7.4239713774597496,Warning,False,2024-11-21
T001,2,1,5219,936,5517,378,12,13.806878306878307,Safe,False,2024-11-22
T001,3,1,5379,196,2163,451,23,11.926829268292684,Warning,False,2024-11-23
T001,1,2,3028,590,3726,55,11,55.054545454545455,Safe,False,2024-11-24
T001,1,3,3060,325,1063,176,8,17.386363636363637,Safe,False,2024-11-25
T001,1,1,301,554,835,467,1,0.6445396145610278,Critical,True,2024-11-26
T001,1,1,678,815,2831,639,25,1.0610328638497653,Critical,True,2024-11-27
T001,2,2,2825,181,2680,387,17,7.299741602067184,Warning,False,2024-11-28
T001,3,3,1789,647,3930,575,28,3.111304347826087,Warning,False,2024-11-29
T001,2,1,1509,326,2651,455,24,3.3164835164835167,Warning,False,2024-11-30
T001,4,1,1747,567,2789,514,25,3.3988326848249026,Warning,False,2024-12-01
