Date,Item_ID,Item_Type,Item_Name,Current_Stock,Min_Required,Max_Capacity,Unit_Cost,Avg_Usage_Per_Day,Restock_Lead_Time,Vendor_ID,Needs_Reorder,Days_Until_Stockout,Inventory_Value,Stock_Status,tenant_id,nama_rs,kelas_rs
2024-10-01,105,Consumable,Ventilator,2159,264,1018,4467.55,146,17,V001,False,14.787671232876713,9645440.450000001,Warning,T001,RSUD dr. Soetomo,A
2024-10-02,100,Equipment,Ventilator,3482,656,3556,5832.29,74,12,V001,False,47.054054054054056,20308033.78,Safe,T001,RSUD dr. Soetomo,A
2024-10-03,103,Equipment,Surgical Mask,3319,384,5562,16062.98,634,6,V001,False,5.235015772870662,53313030.62,Warning,T001,RSUD dr. Soetomo,A
2024-10-04,103,Consumable,Surgical Mask,2853,438,1131,744.1,279,15,V002,False,10.225806451612904,2122917.3000000003,Warning,T001,RSUD dr. Soetomo,A
2024-10-05,107,Equipment,IV Drip,3374,338,1013,15426.53,213,12,V003,False,15.84037558685446,52049112.22,Safe,T001,RSUD dr. Soetomo,A
2024-10-06,109,Equipment,IV Drip,3161,402,1715,15246.06,521,26,V002,False,6.067178502879079,48192795.66,Warning,T001,RSUD dr. Soetomo,A
2024-10-07,103,Consumable,IV Drip,542,210,3765,1631.28,279,24,V003,False,1.9426523297491038,884153.76,Warning,T001,RSUD dr. Soetomo,A
2024-10-08,105,Equipment,IV Drip,172,502,2161,16620.81,347,11,V002,True,0.4956772334293948,2858779.3200000003,Critical,T001,RSUD dr. Soetomo,A
2024-10-09,102,Consumable,Ventilator,1106,751,1801,3441.26,22,20,V001,False,50.27272727272727,3806033.56,Safe,T001,RSUD dr. Soetomo,A
2024-10-10,104,Equipment,Gloves,3427,28,1314,2729.08,564,5,V002,False,6.076241134751773,9352557.16,Safe,T001,RSUD dr. Soetomo,A
2024-10-11,107,Equipment,Surgical Mask,4831,12,2292,3328.44,217,21,V001,False,22.262672811059907,16079693.64,Safe,T001,RSUD dr. Soetomo,A
2024-10-12,106,Consumable,Surgical Mask,6314,207,4298,55.66,343,8,V003,False,18.408163265306122,351437.24,Safe,T001,RSUD dr. Soetomo,A
2024-10-13,108,Consumable,X-ray Machine,4617,231,3736,10669.37,329,2,V001,False,14.033434650455927,49260481.29000001,Safe,T001,RSUD dr. Soetomo,A
2024-10-14,108,Consumable,Gloves,1105,515,4238,7379.83,310,24,V002,False,3.564516129032258,8154712.15,Warning,T001,RSUD dr. Soetomo,A
2024-10-15,101,Consumable,Gloves,6607,239,2184,2865.49,267,24,V003,False,24.745318352059925,18932292.43,Safe,T001,RSUD dr. Soetomo,A
2024-10-16,106,Equipment,Surgical Mask,4851,622,4936,17374.64,560,25,V002,False,8.6625,84284378.64,Warning,T001,RSUD dr. Soetomo,A
2024-10-17,107,Equipment,Gloves,652,372,3426,10124.28,143,26,V002,False,4.559440559440559,6601030.5600000005,Warning,T001,RSUD dr. Soetomo,A
2024-10-18,107,Consumable,X-ray Machine,3374,167,3633,6974.49,238,6,V002,False,14.176470588235293,23531929.259999998,Safe,T001,RSUD dr. Soetomo,A
2024-10-19,108,Consumable,Ventilator,647,165,2450,10654.65,674,23,V001,False,0.9599406528189911,6893558.55,Warning,T001,RSUD dr. Soetomo,A
2024-10-20,101,Equipment,IV Drip,6044,667,3215,16184.33,80,18,V003,False,75.55,97818090.52,Safe,T001,RSUD dr. Soetomo,A
2024-10-21,105,Equipment,X-ray Machine,319,452,3288,3419.11,618,17,V002,True,0.5161812297734628,1090696.09,Critical,T001,RSUD dr. Soetomo,A
2024-10-22,109,Consumable,IV Drip,4077,405,2109,17313.6,505,17,V001,False,8.073267326732672,70587547.19999999,Warning,T001,RSUD dr. Soetomo,A
2024-10-23,108,Consumable,Surgical Mask,3088,315,3900,11709.1,529,1,V002,False,5.837429111531191,36157700.800000004,Safe,T001,RSUD dr. Soetomo,A
2024-10-24,109,Consumable,Ventilator,3527,338,1419,12310.83,560,19,V003,False,6.298214285714286,43420297.41,Warning,T001,RSUD dr. Soetomo,A
2024-10-25,104,Equipment,X-ray Machine,3822,354,4914,11771.05,462,4,V001,False,8.272727272727273,44988953.099999994,Safe,T001,RSUD dr. Soetomo,A
2024-10-26,103,Consumable,Gloves,2940,525,4644,4426.77,42,2,V002,False,70.0,13014703.8,Safe,T001,RSUD dr. Soetomo,A
2024-10-27,100,Equipment,Ventilator,1169,634,2523,3695.18,575,7,V002,False,2.0330434782608697,4319665.42,Warning,T001,RSUD dr. Soetomo,A
2024-10-28,103,Consumable,X-ray Machine,6005,21,1823,9547.31,12,21,V001,False,500.4166666666667,57331596.55,Safe,T001,RSUD dr. Soetomo,A
2024-10-29,105,Consumable,Ventilator,1060,835,1153,7127.18,89,1,V003,False,11.910112359550562,7554810.800000001,Safe,T001,RSUD dr. Soetomo,A
2024-10-30,100,Equipment,Surgical Mask,1981,444,1004,4817.11,148,9,V003,False,13.385135135135135,9542694.91,Safe,T001,RSUD dr. Soetomo,A
2024-10-31,102,Consumable,Gloves,6860,665,867,11625.6,634,25,V003,False,10.82018927444795,79751616.0,Warning,T001,RSUD dr. Soetomo,A
2024-11-01,103,Consumable,IV Drip,4501,963,1517,17123.76,358,7,V001,False,12.572625698324023,77074043.75999999,Safe,T001,RSUD dr. Soetomo,A
2024-11-02,108,Consumable,IV Drip,1222,141,1277,11138.18,338,12,V001,False,3.6153846153846154,13610855.96,Warning,T001,RSUD dr. Soetomo,A
2024-11-03,101,Equipment,IV Drip,3185,896,3727,18130.51,321,5,V002,False,9.922118380062305,57745674.349999994,Safe,T001,RSUD dr. Soetomo,A
2024-11-04,103,Equipment,X-ray Machine,6868,966,1497,14336.04,68,22,V001,False,101.0,98459922.72,Safe,T001,RSUD dr. Soetomo,A
2024-11-05,103,Consumable,Ventilator,972,945,5657,18008.8,504,6,V002,False,1.9285714285714286,17504553.599999998,Warning,T001,RSUD dr. Soetomo,A
2024-11-06,103,Consumable,Gloves,195,520,4602,4034.61,88,8,V001,True,2.215909090909091,786748.9500000001,Critical,T001,RSUD dr. Soetomo,A
2024-11-07,107,Consumable,Gloves,3277,991,3886,11746.94,124,24,V003,False,26.427419354838708,38494722.38,Safe,T001,RSUD dr. Soetomo,A
2024-11-08,100,Equipment,X-ray Machine,5243,167,5193,7093.88,69,26,V003,False,75.98550724637681,37193212.84,Safe,T001,RSUD dr. Soetomo,A
2024-11-09,101,Consumable,Gloves,6726,959,5623,14874.23,239,20,V001,False,28.14225941422594,100044070.98,Safe,T001,RSUD dr. Soetomo,A
2024-11-10,109,Consumable,Gloves,4540,77,4318,8997.87,640,11,V001,False,7.09375,40850329.800000004,Warning,T001,RSUD dr. Soetomo,A
2024-11-11,109,Equipment,Ventilator,3788,578,3839,8243.92,213,6,V003,False,17.784037558685448,31227968.96,Safe,T001,RSUD dr. Soetomo,A
2024-11-12,100,Consumable,Ventilator,3423,213,2961,2860.0,97,6,V003,False,35.28865979381443,9789780.0,Safe,T001,RSUD dr. Soetomo,A
2024-11-13,104,Equipment,Ventilator,4063,385,5319,7091.41,36,5,V001,False,112.86111111111111,28812398.83,Safe,T001,RSUD dr. Soetomo,A
2024-11-14,107,Consumable,X-ray Machine,2040,89,5902,13356.24,648,29,V003,False,3.1481481481481484,27246729.599999998,Warning,T001,RSUD dr. Soetomo,A
2024-11-15,103,Consumable,X-ray Machine,612,311,4676,10175.7,539,11,V001,False,1.1354359925788498,6227528.4,Warning,T001,RSUD dr. Soetomo,A
2024-11-16,102,Equipment,X-ray Machine,2425,612,1687,10382.88,510,26,V001,False,4.754901960784314,25178483.999999996,Warning,T001,RSUD dr. Soetomo,A
2024-11-17,107,Equipment,Gloves,357,89,2088,12963.49,373,13,V001,False,0.9571045576407506,4627965.93,Warning,T001,RSUD dr. Soetomo,A
2024-11-18,102,Consumable,IV Drip,3009,235,5509,5517.11,171,17,V001,False,17.596491228070175,16600983.989999998,Safe,T001,RSUD dr. Soetomo,A
2024-11-19,100,Consumable,Gloves,6590,21,5808,4415.31,185,26,V001,False,35.62162162162162,29096892.900000002,Safe,T001,RSUD dr. Soetomo,A
2024-11-20,100,Equipment,Ventilator,3312,513,1469,19355.19,54,6,V001,False,61.333333333333336,64104389.279999994,Safe,T001,RSUD dr. Soetomo,A
2024-11-21,104,Equipment,IV Drip,4150,143,4695,2757.06,559,14,V002,False,7.4239713774597496,11441799.0,Warning,T001,RSUD dr. Soetomo,A
2024-11-22,105,Equipment,Surgical Mask,5219,936,5517,1620.42,378,12,V001,False,13.806878306878307,8456971.98,Safe,T001,RSUD dr. Soetomo,A
2024-11-23,105,Consumable,IV Drip,5379,196,2163,14073.16,451,23,V001,False,11.926829268292684,75699527.64,Warning,T001,RSUD dr. Soetomo,A
2024-11-24,106,Consumable,Ventilator,3028,590,3726,12942.68,55,11,V002,False,55.054545454545455,39190435.04,Safe,T001,RSUD dr. Soetomo,A
2024-11-25,108,Consumable,Ventilator,3060,325,1063,7419.78,176,8,V003,False,17.386363636363637,22704526.8,Safe,T001,RSUD dr. Soetomo,A
2024-11-26,104,Consumable,Ventilator,301,554,835,1536.19,467,1,V001,True,0.6445396145610278,462393.19,Critical,T001,RSUD dr. Soetomo,A
2024-11-27,101,Consumable,Ventilator,678,815,2831,5590.96,639,25,V001,True,1.0610328638497653,3790670.88,Critical,T001,RSUD dr. Soetomo,A
2024-11-28,104,Equipment,Surgical Mask,2825,181,2680,1244.96,387,17,V002,False,7.299741602067184,3517012.0,Warning,T001,RSUD dr. Soetomo,A
2024-11-29,109,Consumable,IV Drip,1789,647,3930,19782.43,575,28,V003,False,3.111304347826087,35390767.27,Warning,T001,RSUD dr. Soetomo,A
2024-11-30,108,Consumable,Surgical Mask,1509,326,2651,13908.3,455,24,V001,False,3.3164835164835167,20987624.7,Warning,T001,RSUD dr. Soetomo,A
2024-12-01,101,Consumable,Gloves,1747,567,2789,8638.15,514,25,V001,False,3.3988326848249026,15090848.049999999,Warning,T001,RSUD dr. Soetomo,A
2024-12-02,101,Consumable,IV Drip,5645,295,2985,18394.64,431,29,V002,False,13.097447795823665,103837742.8,Warning,T001,RSUD dr. Soetomo,A
2024-12-03,107,Consumable,Gloves,4708,260,4363,11309.13,448,25,V003,False,10.508928571428571,53243384.04,Warning,T001,RSUD dr. Soetomo,A
2024-12-04,109,Equipment,Gloves,4838,165,5600,14225.64,486,26,V003,False,9.954732510288066,68823646.32,Warning,T001,RSUD dr. Soetomo,A
2024-12-05,109,Equipment,Gloves,5093,753,2058,10135.64,443,21,V003,False,11.496613995485328,51620814.519999996,Warning,T001,RSUD dr. Soetomo,A
2024-12-06,103,Equipment,Ventilator,6821,805,1872,16529.65,139,15,V003,False,49.07194244604317,112748742.65,Safe,T001,RSUD dr. Soetomo,A
2024-12-07,106,Equipment,IV Drip,1434,39,4578,19648.94,634,1,V002,False,2.2618296529968456,28176579.959999997,Safe,T001,RSUD dr. Soetomo,A
2024-12-08,107,Equipment,X-ray Machine,1788,136,5626,8242.85,639,15,V002,False,2.7981220657276995,14738215.8,Warning,T001,RSUD dr. Soetomo,A
2024-12-09,102,Consumable,IV Drip,6475,82,1409,2946.37,397,4,V001,False,16.309823677581864,19077745.75,Safe,T001,RSUD dr. Soetomo,A
2024-12-10,100,Consumable,Ventilator,3685,85,1729,8037.19,405,23,V001,False,9.098765432098766,29617045.15,Warning,T001,RSUD dr. Soetomo,A
2024-12-11,103,Equipment,IV Drip,6940,107,4741,15954.34,599,16,V002,False,11.585976627712855,110723119.6,Warning,T001,RSUD dr. Soetomo,A
2024-12-12,105,Equipment,Ventilator,2159,216,978,4.23,223,9,V003,False,9.681614349775785,9132.570000000002,Safe,T001,RSUD dr. Soetomo,A
2024-12-13,109,Equipment,IV Drip,5344,560,2310,19091.92,217,4,V001,False,24.62672811059908,102027220.47999999,Safe,T001,RSUD dr. Soetomo,A
2024-12-14,104,Equipment,IV Drip,1686,277,1252,13250.46,446,5,V001,False,3.780269058295964,22340275.56,Warning,T001,RSUD dr. Soetomo,A
2024-12-15,104,Equipment,Gloves,2395,468,5750,6213.3,327,21,V003,False,7.324159021406728,14880853.5,Warning,T001,RSUD dr. Soetomo,A
2024-12-16,106,Equipment,Surgical Mask,2400,768,527,9796.68,346,15,V001,False,6.936416184971098,23512032.0,Warning,T001,RSUD dr. Soetomo,A
2024-12-17,104,Equipment,IV Drip,4862,867,892,5281.82,660,29,V002,False,7.366666666666666,25680208.84,Warning,T001,RSUD dr. Soetomo,A
2024-12-18,104,Equipment,X-ray Machine,328,42,4319,8718.91,541,5,V002,False,0.6062846580406654,2859802.48,Warning,T001,RSUD dr. Soetomo,A
2024-12-19,103,Consumable,Surgical Mask,5365,700,5827,12764.56,567,28,V001,False,9.462081128747796,68481864.39999999,Warning,T001,RSUD dr. Soetomo,A
2024-12-20,104,Consumable,X-ray Machine,3203,50,715,13481.71,335,18,V002,False,9.561194029850746,43181917.129999995,Warning,T001,RSUD dr. Soetomo,A
2024-12-21,104,Consumable,IV Drip,6873,208,3379,6455.81,524,28,V001,False,13.116412213740459,44370782.13,Warning,T001,RSUD dr. Soetomo,A
2024-12-22,108,Equipment,Ventilator,3941,296,3730,459.81,54,20,V001,False,72.98148148148148,1812111.21,Safe,T001,RSUD dr. Soetomo,A
2024-12-23,104,Equipment,IV Drip,2416,672,3408,7544.2,570,25,V002,False,4.23859649122807,18226787.2,Warning,T001,RSUD dr. Soetomo,A
2024-12-24,103,Equipment,Gloves,480,133,4482,7507.87,351,25,V002,False,1.3675213675213675,3603777.6,Warning,T001,RSUD dr. Soetomo,A
2024-12-25,107,Equipment,Ventilator,5741,597,3745,8240.78,574,4,V002,False,10.001742160278745,47310317.980000004,Safe,T001,RSUD dr. Soetomo,A
2024-12-26,105,Consumable,X-ray Machine,3378,301,4856,19314.53,80,19,V001,False,42.225,65244482.339999996,Safe,T001,RSUD dr. Soetomo,A
2024-12-27,105,Consumable,IV Drip,6279,478,5480,19401.95,653,2,V002,False,9.615620214395099,121824844.05000001,Safe,T001,RSUD dr. Soetomo,A
2024-12-28,100,Equipment,IV Drip,5502,974,5246,2974.71,176,13,V003,False,31.261363636363637,16366854.42,Safe,T001,RSUD dr. Soetomo,A
2024-12-29,101,Consumable,Ventilator,2008,585,5992,18268.7,5,21,V001,False,401.6,36683549.6,Safe,T001,RSUD dr. Soetomo,A
2024-12-30,105,Equipment,IV Drip,5781,782,563,19569.2,16,8,V001,False,361.3125,113129545.2,Safe,T001,RSUD dr. Soetomo,A
2024-12-31,109,Equipment,Surgical Mask,5487,699,4870,5133.32,524,23,V003,False,10.471374045801527,28166526.84,Warning,T001,RSUD dr. Soetomo,A
2025-01-01,103,Equipment,X-ray Machine,1576,894,4056,14820.61,150,13,V003,False,10.506666666666666,23357281.36,Warning,T001,RSUD dr. Soetomo,A
2025-01-02,100,Equipment,IV Drip,3847,167,2748,3509.51,254,25,V001,False,15.145669291338583,13501084.97,Warning,T001,RSUD dr. Soetomo,A
2025-01-03,105,Equipment,IV Drip,5384,713,4715,9439.58,190,16,V003,False,28.33684210526316,50822698.72,Safe,T001,RSUD dr. Soetomo,A
2025-01-04,100,Consumable,Ventilator,966,839,2862,12144.29,477,1,V002,False,2.0251572327044025,11731384.14,Safe,T001,RSUD dr. Soetomo,A
2025-01-05,101,Consumable,Gloves,5321,613,4285,3592.18,572,2,V002,False,9.302447552447552,19113989.779999997,Safe,T001,RSUD dr. Soetomo,A
2025-01-06,102,Consumable,X-ray Machine,5858,633,3969,10943.91,414,14,V001,False,14.14975845410628,64109424.78,Safe,T001,RSUD dr. Soetomo,A
2025-01-07,104,Consumable,Surgical Mask,2178,221,5265,14776.76,347,2,V001,False,6.276657060518732,32183783.28,Safe,T001,RSUD dr. Soetomo,A
2025-01-08,102,Equipment,Surgical Mask,340,370,3138,13348.52,74,4,V002,True,4.594594594594595,4538496.8,Critical,T001,RSUD dr. Soetomo,A
2025-01-09,100,Consumable,Ventilator,1674,100,577,12615.11,74,8,V001,False,22.62162162162162,21117694.14,Safe,T001,RSUD dr. Soetomo,A
2025-01-10,103,Consumable,Surgical Mask,3902,548,4514,2409.08,151,25,V002,False,25.841059602649008,9400230.16,Safe,T001,RSUD dr. Soetomo,A
2025-01-11,102,Consumable,Gloves,6128,595,5296,19127.81,464,5,V003,False,13.206896551724139,117215219.68,Safe,T001,RSUD dr. Soetomo,A
2025-01-12,100,Consumable,IV Drip,1953,956,1088,2818.77,270,7,V003,False,7.233333333333333,5505057.81,Safe,T001,RSUD dr. Soetomo,A
2025-01-13,107,Equipment,X-ray Machine,1981,233,5849,12244.95,254,28,V003,False,7.799212598425197,24257245.950000003,Warning,T001,RSUD dr. Soetomo,A
2025-01-14,105,Equipment,IV Drip,3545,872,4241,2591.06,435,27,V001,False,8.149425287356323,9185307.7,Warning,T001,RSUD dr. Soetomo,A
2025-01-15,109,Equipment,Ventilator,1960,795,4671,10794.3,652,3,V003,False,3.0061349693251533,21156828.0,Safe,T001,RSUD dr. Soetomo,A
2025-01-16,100,Equipment,IV Drip,3797,721,2525,17348.74,364,14,V002,False,10.43131868131868,65873165.78000001,Warning,T001,RSUD dr. Soetomo,A
2025-01-17,102,Equipment,Gloves,2922,834,2405,12605.89,595,7,V002,False,4.9109243697478995,36834410.58,Warning,T001,RSUD dr. Soetomo,A
2025-01-18,107,Consumable,Surgical Mask,748,813,2444,18171.78,42,16,V002,True,17.80952380952381,13592491.44,Critical,T001,RSUD dr. Soetomo,A
2025-01-19,102,Equipment,X-ray Machine,3149,211,4399,13171.06,462,26,V002,False,6.816017316017316,41475667.94,Warning,T001,RSUD dr. Soetomo,A
2025-01-20,109,Consumable,Gloves,3108,742,5268,9108.27,111,17,V002,False,28.0,28308503.16,Safe,T001,RSUD dr. Soetomo,A
2025-01-21,102,Consumable,Ventilator,3052,825,992,9337.51,205,17,V003,False,14.887804878048781,28498080.52,Warning,T001,RSUD dr. Soetomo,A
2025-01-22,103,Equipment,X-ray Machine,195,58,5874,4233.14,567,19,V002,False,0.3439153439153439,825462.3,Warning,T001,RSUD dr. Soetomo,A
2025-01-23,103,Equipment,IV Drip,1120,385,4292,19077.24,564,10,V003,False,1.9858156028368794,21366508.8,Warning,T001,RSUD dr. Soetomo,A
2025-01-24,102,Equipment,Ventilator,4529,977,5606,6218.86,528,26,V002,False,8.577651515151516,28165216.939999998,Warning,T001,RSUD dr. Soetomo,A
2025-01-25,103,Equipment,IV Drip,287,639,4192,7999.22,34,1,V001,True,8.441176470588236,2295776.14,Critical,T001,RSUD dr. Soetomo,A
2025-01-26,104,Equipment,Gloves,2222,589,1638,596.28,47,16,V003,False,47.276595744680854,1324934.16,Safe,T001,RSUD dr. Soetomo,A
2025-01-27,101,Consumable,Gloves,3308,645,4607,7760.43,142,22,V001,False,23.295774647887324,25671502.44,Safe,T001,RSUD dr. Soetomo,A
2025-01-28,102,Consumable,Ventilator,5965,721,2819,2334.56,597,17,V003,False,9.991624790619765,13925650.4,Warning,T001,RSUD dr. Soetomo,A
2025-01-29,109,Equipment,Surgical Mask,2692,328,5901,3828.92,485,11,V003,False,5.550515463917526,10307452.64,Warning,T001,RSUD dr. Soetomo,A
2025-01-30,101,Consumable,Ventilator,6357,978,5385,15790.87,618,5,V001,False,10.28640776699029,100382560.59,Safe,T001,RSUD dr. Soetomo,A
2025-01-31,104,Consumable,Surgical Mask,3283,303,2698,9444.07,207,8,V002,False,15.859903381642512,31004881.81,Safe,T001,RSUD dr. Soetomo,A
2025-02-01,106,Equipment,Ventilator,5078,15,1262,16754.86,300,24,V002,False,16.926666666666666,85081179.08,Warning,T001,RSUD dr. Soetomo,A
2025-02-02,108,Equipment,Ventilator,146,619,2383,6457.32,8,18,V002,True,18.25,942768.72,Critical,T001,RSUD dr. Soetomo,A
2025-02-03,102,Equipment,X-ray Machine,1912,65,4704,7664.23,325,9,V002,False,5.883076923076923,14654007.76,Warning,T001,RSUD dr. Soetomo,A
2025-02-04,103,Consumable,Surgical Mask,4547,486,5052,16642.78,585,7,V003,False,7.772649572649573,75674720.66,Safe,T001,RSUD dr. Soetomo,A
2025-02-05,100,Consumable,Surgical Mask,97,440,1359,1353.1,554,14,V002,True,0.17509025270758122,131250.69999999998,Critical,T001,RSUD dr. Soetomo,A
2025-02-06,100,Equipment,Gloves,1480,48,5072,16408.54,612,6,V003,False,2.418300653594771,24284639.200000003,Warning,T001,RSUD dr. Soetomo,A
2025-02-07,106,Equipment,IV Drip,5363,571,3291,4108.2,323,18,V003,False,16.603715170278637,22032276.599999998,Warning,T001,RSUD dr. Soetomo,A
2025-02-08,100,Consumable,Gloves,6818,274,4699,13098.78,53,6,V003,False,128.64150943396226,89307482.04,Safe,T001,RSUD dr. Soetomo,A
2025-02-09,106,Consumable,Surgical Mask,361,644,599,10657.62,520,5,V001,True,0.6942307692307692,3847400.8200000003,Critical,T001,RSUD dr. Soetomo,A
2025-02-10,103,Consumable,X-ray Machine,3856,203,4989,15785.82,427,3,V001,False,9.030444964871194,60870121.92,Safe,T001,RSUD dr. Soetomo,A
2025-02-11,103,Equipment,Surgical Mask,3196,332,1386,15330.07,279,23,V002,False,11.455197132616487,48994903.72,Warning,T001,RSUD dr. Soetomo,A
2025-02-12,108,Equipment,IV Drip,3072,72,1320,11508.29,100,29,V003,False,30.72,35353466.88,Safe,T001,RSUD dr. Soetomo,A
2025-02-13,108,Consumable,IV Drip,3326,26,3871,11614.0,309,27,V002,False,10.763754045307444,38628164.0,Warning,T001,RSUD dr. Soetomo,A
2025-02-14,108,Equipment,Ventilator,2052,199,3397,14687.35,670,18,V001,False,3.062686567164179,30138442.2,Warning,T001,RSUD dr. Soetomo,A
2025-02-15,102,Consumable,X-ray Machine,6966,204,2318,12211.46,587,28,V001,False,11.867120954003408,85065030.36,Warning,T001,RSUD dr. Soetomo,A
2025-02-16,103,Equipment,Gloves,2708,277,1962,11180.05,39,2,V001,False,69.43589743589743,30275575.4,Safe,T001,RSUD dr. Soetomo,A
2025-02-17,102,Consumable,X-ray Machine,1740,425,1855,9954.16,540,28,V003,False,3.2222222222222223,17320238.4,Warning,T001,RSUD dr. Soetomo,A
2025-02-18,100,Equipment,Ventilator,2682,404,3520,19150.22,263,8,V001,False,10.197718631178708,51360890.04000001,Safe,T001,RSUD dr. Soetomo,A
2025-02-19,108,Equipment,Surgical Mask,213,30,2817,4425.19,50,14,V001,False,4.26,942565.47,Warning,T001,RSUD dr. Soetomo,A
2025-02-20,108,Equipment,IV Drip,2349,110,1468,8742.17,184,26,V002,False,12.766304347826088,20535357.330000002,Warning,T001,RSUD dr. Soetomo,A
2025-02-21,103,Equipment,Surgical Mask,3088,792,732,8376.04,629,6,V002,False,4.909379968203497,25865211.520000003,Warning,T001,RSUD dr. Soetomo,A
2025-02-22,108,Consumable,Surgical Mask,1340,642,3717,11731.33,216,5,V002,False,6.203703703703703,15719982.2,Safe,T001,RSUD dr. Soetomo,A
2025-02-23,102,Consumable,Ventilator,197,62,5790,13675.82,232,27,V002,False,0.8491379310344828,2694136.54,Warning,T001,RSUD dr. Soetomo,A
2025-02-24,108,Consumable,Gloves,2647,465,3872,4455.81,57,18,V001,False,46.43859649122807,11794529.07,Safe,T001,RSUD dr. Soetomo,A
2025-02-25,104,Equipment,Surgical Mask,6621,679,3798,11237.37,626,16,V001,False,10.57667731629393,74402626.77000001,Warning,T001,RSUD dr. Soetomo,A
2025-02-26,103,Equipment,IV Drip,2096,911,2239,18407.82,385,22,V003,False,5.444155844155844,38582790.72,Warning,T001,RSUD dr. Soetomo,A
