tenant_id,drug_code,sales_date,sales_qty
T001,M01AB,2014-01-02,0.0
T001,M01AB,2014-01-03,8.0
T001,M01AB,2014-01-04,2.0
T001,M01AB,2014-01-05,4.0
T001,M01AB,2014-01-06,5.0
T001,M01AB,2014-01-07,0.0
T001,M01AB,2014-01-08,5.33
T001,M01AB,2014-01-09,7.0
T001,M01AB,2014-01-10,5.0
T001,M01AB,2014-01-11,5.0
T001,M01AB,2014-01-12,2.0
T001,M01AB,2014-01-13,7.34
T001,M01AB,2014-01-14,6.0
T001,M01AB,2014-01-15,4.0
T001,M01AB,2014-01-16,6.0
T001,M01AB,2014-01-17,2.0
T001,M01AB,2014-01-18,1.0
T001,M01AB,2014-01-19,4.33
T001,M01AB,2014-01-20,6.0
T001,M01AB,2014-01-21,2.0
T001,M01AB,2014-01-22,7.0
T001,M01AB,2014-01-23,4.0
T001,M01AB,2014-01-24,4.67
T001,M01AB,2014-01-25,6.0
T001,M01AB,2014-01-26,4.33
T001,M01AB,2014-01-27,4.34
T001,M01AB,2014-01-28,6.0
T001,M01AB,2014-01-29,5.33
T001,M01AB,2014-01-30,3.02
T001,M01AB,2014-01-31,1.0
T001,M01AB,2014-02-01,4.33
T001,M01AB,2014-02-02,7.0
T001,M01AB,2014-02-03,5.0
T001,M01AB,2014-02-04,1.33
T001,M01AB,2014-02-05,3.0
T001,M01AB,2014-02-06,3.33
T001,M01AB,2014-02-07,2.66
T001,M01AB,2014-02-08,3.33
T001,M01AB,2014-02-09,4.0
T001,M01AB,2014-02-10,5.0
T001,M01AB,2014-02-11,10.0
T001,M01AB,2014-02-12,9.0
T001,M01AB,2014-02-13,4.33
T001,M01AB,2014-02-14,4.0
T001,M01AB,2014-02-15,1.0
T001,M01AB,2014-02-16,0.0
T001,M01AB,2014-02-17,7.34
T001,M01AB,2014-02-18,7.34
T001,M01AB,2014-02-19,3.33
T001,M01AB,2014-02-20,7.0
T001,M01AB,2014-02-21,6.0
T001,M01AB,2014-02-22,7.0
T001,M01AB,2014-02-23,1.0
T001,M01AB,2014-02-24,7.0
T001,M01AB,2014-02-25,5.0
T001,M01AB,2014-02-26,5.0
T001,M01AB,2014-02-27,3.0
T001,M01AB,2014-02-28,7.0
T001,M01AB,2014-03-01,6.34
T001,M01AB,2014-03-02,3.34
T001,M01AB,2014-03-03,4.0
T001,M01AB,2014-03-04,5.34
T001,M01AB,2014-03-05,3.34
T001,M01AB,2014-03-06,3.0
T001,M01AB,2014-03-07,4.0
T001,M01AB,2014-03-08,4.34
T001,M01AB,2014-03-09,1.0
T001,M01AB,2014-03-10,6.68
T001,M01AB,2014-03-11,6.0
T001,M01AB,2014-03-12,6.34
T001,M01AB,2014-03-13,2.31
T001,M01AB,2014-03-14,4.34
T001,M01AB,2014-03-15,4.0
T001,M01AB,2014-03-16,2.68
T001,M01AB,2014-03-17,8.68
T001,M01AB,2014-03-18,8.0
T001,M01AB,2014-03-19,4.0
T001,M01AB,2014-03-20,3.0
T001,M01AB,2014-03-21,6.0
T001,M01AB,2014-03-22,3.34
T001,M01AB,2014-03-23,6.34
T001,M01AB,2014-03-24,5.68
T001,M01AB,2014-03-25,4.0
T001,M01AB,2014-03-26,2.34
T001,M01AB,2014-03-27,4.0
T001,M01AB,2014-03-28,2.67
T001,M01AB,2014-03-29,4.0
T001,M01AB,2014-03-30,3.0
T001,M01AB,2014-03-31,5.34
T001,M01AB,2014-04-01,4.34
T001,M01AB,2014-04-02,2.0
T001,M01AB,2014-04-03,1.0
T001,M01AB,2014-04-04,3.0
T001,M01AB,2014-04-05,2.0
T001,M01AB,2014-04-06,2.0
T001,M01AB,2014-04-07,6.34
T001,M01AB,2014-04-08,4.34
T001,M01AB,2014-04-09,6.0
T001,M01AB,2014-04-10,3.33
T001,M01AB,2014-04-11,6.0
T001,M01AB,2014-04-12,7.02
T001,M01AB,2014-04-13,3.0
T001,M01AB,2014-04-14,1.34
T001,M01AB,2014-04-15,4.34
T001,M01AB,2014-04-16,2.0
T001,M01AB,2014-04-17,5.34
T001,M01AB,2014-04-18,7.0
T001,M01AB,2014-04-19,7.34
T001,M01AB,2014-04-20,0.0
T001,M01AB,2014-04-21,1.34
T001,M01AB,2014-04-22,5.34
T001,M01AB,2014-04-23,6.34
T001,M01AB,2014-04-24,2.0
T001,M01AB,2014-04-25,3.0
T001,M01AB,2014-04-26,4.34
T001,M01AB,2014-04-27,4.0
T001,M01AB,2014-04-28,1.34
T001,M01AB,2014-04-29,3.33
T001,M01AB,2014-04-30,4.34
T001,M01AB,2014-05-01,0.0
T001,M01AB,2014-05-02,7.34
T001,M01AB,2014-05-03,4.0
T001,M01AB,2014-05-04,1.67
T001,M01AB,2014-05-05,3.0
T001,M01AB,2014-05-06,7.34
T001,M01AB,2014-05-07,3.33
T001,M01AB,2014-05-08,2.0
T001,M01AB,2014-05-09,2.0
T001,M01AB,2014-05-10,5.0
T001,M01AB,2014-05-11,2.0
T001,M01AB,2014-05-12,4.34
T001,M01AB,2014-05-13,3.68
T001,M01AB,2014-05-14,1.0
T001,M01AB,2014-05-15,2.34
T001,M01AB,2014-05-16,5.34
T001,M01AB,2014-05-17,2.34
T001,M01AB,2014-05-18,3.34
T001,M01AB,2014-05-19,8.34
T001,M01AB,2014-05-20,1.0
T001,M01AB,2014-05-21,2.0
T001,M01AB,2014-05-22,3.68
T001,M01AB,2014-05-23,5.0
T001,M01AB,2014-05-24,3.0
T001,M01AB,2014-05-25,2.0
