date,drug_code,sales_qty,drug_name,tenant_id
2014-01-02,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-01-03,M01AB,10.18,Anti-inflammatory Acetic Acid,T001
2014-01-04,M01AB,2.78,Anti-inflammatory Acetic Acid,T001
2014-01-05,M01AB,6.16,Anti-inflammatory Acetic Acid,T001
2014-01-06,M01AB,7.03,Anti-inflammatory Acetic Acid,T001
2014-01-07,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-01-08,M01AB,8.12,Anti-inflammatory Acetic Acid,T001
2014-01-09,M01AB,10.71,Anti-inflammatory Acetic Acid,T001
2014-01-10,M01AB,7.18,Anti-inflammatory Acetic Acid,T001
2014-01-11,M01AB,7.66,Anti-inflammatory Acetic Acid,T001
2014-01-12,M01AB,2.71,Anti-inflammatory Acetic Acid,T001
2014-01-13,M01AB,11.28,Anti-inflammatory Acetic Acid,T001
2014-01-14,M01AB,8.35,Anti-inflammatory Acetic Acid,T001
2014-01-15,M01AB,5.64,Anti-inflammatory Acetic Acid,T001
2014-01-16,M01AB,8.45,Anti-inflammatory Acetic Acid,T001
2014-01-17,M01AB,2.66,Anti-inflammatory Acetic Acid,T001
2014-01-18,M01AB,1.47,Anti-inflammatory Acetic Acid,T001
2014-01-19,M01AB,5.5,Anti-inflammatory Acetic Acid,T001
2014-01-20,M01AB,7.6,Anti-inflammatory Acetic Acid,T001
2014-01-21,M01AB,2.66,Anti-inflammatory Acetic Acid,T001
2014-01-22,M01AB,9.08,Anti-inflammatory Acetic Acid,T001
2014-01-23,M01AB,5.06,Anti-inflammatory Acetic Acid,T001
2014-01-24,M01AB,6.68,Anti-inflammatory Acetic Acid,T001
2014-01-25,M01AB,8.51,Anti-inflammatory Acetic Acid,T001
2014-01-26,M01AB,5.67,Anti-inflammatory Acetic Acid,T001
2014-01-27,M01AB,5.85,Anti-inflammatory Acetic Acid,T001
2014-01-28,M01AB,7.74,Anti-inflammatory Acetic Acid,T001
2014-01-29,M01AB,7.47,Anti-inflammatory Acetic Acid,T001
2014-01-30,M01AB,4.41,Anti-inflammatory Acetic Acid,T001
2014-01-31,M01AB,1.4,Anti-inflammatory Acetic Acid,T001
2014-02-01,M01AB,6.15,Anti-inflammatory Acetic Acid,T001
2014-02-02,M01AB,9.06,Anti-inflammatory Acetic Acid,T001
2014-02-03,M01AB,7.69,Anti-inflammatory Acetic Acid,T001
2014-02-04,M01AB,1.91,Anti-inflammatory Acetic Acid,T001
2014-02-05,M01AB,3.82,Anti-inflammatory Acetic Acid,T001
2014-02-06,M01AB,4.67,Anti-inflammatory Acetic Acid,T001
2014-02-07,M01AB,3.85,Anti-inflammatory Acetic Acid,T001
2014-02-08,M01AB,4.6,Anti-inflammatory Acetic Acid,T001
2014-02-09,M01AB,5.55,Anti-inflammatory Acetic Acid,T001
2014-02-10,M01AB,6.55,Anti-inflammatory Acetic Acid,T001
2014-02-11,M01AB,12.83,Anti-inflammatory Acetic Acid,T001
2014-02-12,M01AB,12.82,Anti-inflammatory Acetic Acid,T001
2014-02-13,M01AB,5.58,Anti-inflammatory Acetic Acid,T001
2014-02-14,M01AB,5.56,Anti-inflammatory Acetic Acid,T001
2014-02-15,M01AB,1.44,Anti-inflammatory Acetic Acid,T001
2014-02-16,M01AB,0.0,Anti-inflammatory Acetic Acid,T001
2014-02-17,M01AB,11.26,Anti-inflammatory Acetic Acid,T001
2014-02-18,M01AB,9.9,Anti-inflammatory Acetic Acid,T001
2014-02-19,M01AB,5.06,Anti-inflammatory Acetic Acid,T001
2014-02-20,M01AB,10.46,Anti-inflammatory Acetic Acid,T001
2014-02-21,M01AB,7.99,Anti-inflammatory Acetic Acid,T001
2014-02-22,M01AB,8.82,Anti-inflammatory Acetic Acid,T001
2014-02-23,M01AB,1.27,Anti-inflammatory Acetic Acid,T001
2014-02-24,M01AB,9.66,Anti-inflammatory Acetic Acid,T001
2014-02-25,M01AB,6.99,Anti-inflammatory Acetic Acid,T001
2014-02-26,M01AB,6.96,Anti-inflammatory Acetic Acid,T001
2014-02-27,M01AB,4.03,Anti-inflammatory Acetic Acid,T001
2014-02-28,M01AB,10.1,Anti-inflammatory Acetic Acid,T001
2014-03-01,M01AB,8.5,Anti-inflammatory Acetic Acid,T001
2014-03-02,M01AB,4.28,Anti-inflammatory Acetic Acid,T001
2014-03-03,M01AB,5.17,Anti-inflammatory Acetic Acid,T001
2014-03-04,M01AB,6.9,Anti-inflammatory Acetic Acid,T001
2014-03-05,M01AB,4.36,Anti-inflammatory Acetic Acid,T001
2014-03-06,M01AB,3.96,Anti-inflammatory Acetic Acid,T001
2014-03-07,M01AB,5.52,Anti-inflammatory Acetic Acid,T001
2014-03-08,M01AB,5.93,Anti-inflammatory Acetic Acid,T001
2014-03-09,M01AB,1.29,Anti-inflammatory Acetic Acid,T001
2014-03-10,M01AB,9.33,Anti-inflammatory Acetic Acid,T001
2014-03-11,M01AB,7.7,Anti-inflammatory Acetic Acid,T001
2014-03-12,M01AB,9.66,Anti-inflammatory Acetic Acid,T001
2014-03-13,M01AB,3.43,Anti-inflammatory Acetic Acid,T001
2014-03-14,M01AB,5.69,Anti-inflammatory Acetic Acid,T001
2014-03-15,M01AB,5.1,Anti-inflammatory Acetic Acid,T001
2014-03-16,M01AB,3.81,Anti-inflammatory Acetic Acid,T001
2014-03-17,M01AB,12.47,Anti-inflammatory Acetic Acid,T001
2014-03-18,M01AB,10.76,Anti-inflammatory Acetic Acid,T001
2014-03-19,M01AB,5.93,Anti-inflammatory Acetic Acid,T001
2014-03-20,M01AB,4.61,Anti-inflammatory Acetic Acid,T001
2014-03-21,M01AB,8.76,Anti-inflammatory Acetic Acid,T001
2014-03-22,M01AB,4.26,Anti-inflammatory Acetic Acid,T001
2014-03-23,M01AB,8.82,Anti-inflammatory Acetic Acid,T001
2014-03-24,M01AB,8.2,Anti-inflammatory Acetic Acid,T001
2014-03-25,M01AB,5.13,Anti-inflammatory Acetic Acid,T001
2014-03-26,M01AB,3.2,Anti-inflammatory Acetic Acid,T001
